(مص. أسس)	تَأْسِيسٌ-تَأْسِيسٌ 
(مص. اِسْتَفاقَ)	اِسْتِفاقَةٌ-اِسْتِفاقَةٌ 
(مص. اِسْتَفْتَحَ)	اِسْتِفْتاحٌ-اِسْتِفْتاحٌ 
(مص. اِسْتَفْتَى)	اِسْتِفْتاءٌ-اِسْتِفْتاءٌ 
(مص. اِسْتَفْحَلَ)	اِسْتِفْحالٌ-اِسْتِفْحالٌ 
(مص. اِسْتَفْرَدَ)	اِسْتِفْرادٌ-اِسْتِفْرادٌ 
(مص. اِسْتَفْرَغَ)	اِسْتِفْرَاغٌ-اِسْتِفْرَاغٌ 
(مص. اِسْتَفَزَّ)	اِسْتِفْزَازٌ-اِسْتِفْزَازٌ 
(مص. اِسْتَفْسَرَ)	اِسْتِفْسارٌ-اِسْتِفْسارٌ 
(مص. اِسْتَفْهَمَ)	اِسْتِفْهامٌ-اِسْتِفْهامٌ 
(مص. اِسْتَقالَ)	اِسْتِقالَةٌ-اِسْتِقالَةٌ 
(مص. اِسْتَقامَ)	اِسْتِقامَةٌ-اِسْتِقامَةٌ 
(مص. اِسْتَقْبَحَ)	اِسْتِقْباحٌ-اِسْتِقْباحٌ 
(مص. اِسْتَقْبَلَ)	اِسْتِقْبالٌ-اِسْتِقْبالٌ 
(مص. اِسْتَقْدَمَ)	اِسْتِقْدامٌ-اِسْتِقْدامٌ 
(مص. اِسْتَقَرَّ)	اِسْتِقْرارٌ-اِسْتِقْرارٌ 
(مص. اِسْتَقْرَأَ)	اِسْتِقْراءٌ-اِسْتِقْراءٌ 
(مص. اِسْتَقْصَى)	اِسْتِقْصاءٌ-اِسْتِقْصاءٌ 
(مص. اِسْتَقَلَّ)	اِسْتِقْلالٌ-اِسْتِقْلالٌ 
(مص. اِسْتكانَ)	اِسْتِكانَةٌ-اِسْتِكانَةٌ 
(مص. اِسْتَكْبَرَ)	اِسْتِكْبارٌ-اِسْتِكْبارٌ 
(مص. اِسْتَكْتَبَ)	اِسْتِكْتابٌ-اِسْتِكْتابٌ 
(مص. اِسْتَكْثَرَ)	اِسْتِكْثارٌ-اِسْتِكْثارٌ 
(مص. اِسْتَكْرَهَ)	اِسْتِكْراهٌ-اِسْتِكْراهٌ 
(مص. اِسْتَكْشَفَ)	اِسْتِكْشافٌ-اِسْتِكْشافٌ 
(مص. اِسْتَكْمَلَ)	اِسْتِكْمالٌ-اِسْتِكْمالٌ 
(مص. اِسْتَلَّ)	اِسْتِلالٌ-اِسْتِلالٌ 
(مص. اِسْتَلَبَ)	اِسْتِلابٌ-اِسْتِلابٌ 
(مص. اِسْتَلَذَّ)	اِسْتِلْذَاذٌ-اِسْتِلْذَاذٌ 
(مص. اِسْتَلْزَمَ)	اِسْتِلْزامٌ-اِسْتِلْزامٌ 
(مص. اِسْتَلْطَفَ)	اِسْتِلْطافٌ-اِسْتِلْطافٌ 
(مص. اِسْتَلَفَ)	اِسْتِلاَفٌ-اِسْتِلاَفٌ 
(مص. اِسْتَلْفَتَ)	اِسْتِلْفاتٌ-اِسْتِلْفاتٌ 
(مص. اِسْتَلْقَى)	اِسْتِلْقاءٌ-اِسْتِلْقاءٌ 
(مص. اِسْتَلَمَ)	اِسْتِلامٌ-اِسْتِلامٌ 
(مص. اِسْتَماتَ)	اِسْتِماتَةٌ-اِسْتِماتَةٌ 
(مص. اِسْتَمالَ)	اِسْتِمالَةٌ-اِسْتِمالَةٌ 
(مص. اِسْتَمْتَعَ)	اِسْتِمْتاعٌ-اِسْتِمْتاعٌ 
(مص. اِسْتَمَدَّ)	اِسْتِمْدادٌ-اِسْتِمْدادٌ 
(مص. اِسْتَمَرَّ)	اِسْتِمْرارٌ-اِسْتِمْرارٌ 
(مص. اِسْتَمَعَ)	اِسْتِماعٌ-اِسْتِماعٌ 
(مص. اِسْتَمْلَحَ)	اِسْتِمْلاحٌ-اِسْتِمْلاحٌ 
(مص. اِسْتَمْهَلَ)	اِسْتِمْهالٌ-اِسْتِمْهالٌ 
(مص. اِسْتَنارَ)	اِسْتِنارَةٌ-اِسْتِنارَةٌ 
(مص. اِسْتَنْبَطَ)	اِسْتِنْباطٌ-اِسْتِنْباطٌ 
(مص. اِسْتَنْتَجَ)	اِسْتِنْتاجٌ-اِسْتِنْتاجٌ 
(مص. اِسْتَنْجَدَ)	اِسْتِنْجادٌ-اِسْتِنْجادٌ 
(مص. اِسْتَنَدَ)	اِسْتِناد-اِسْتِنادٌ 
(مص. اِسْتَنْزَفَ)	اِسْتِنْزافٌ-اِسْتِنْزافٌ 
(مص. اِسْتَنْسَخَ)	اِسْتِنْساخٌ-اِسْتِنْساخٌ 
(مص. اِسْتَنْشَقَ)	اِسْتِنْشاقٌ-اِسْتِنْشاقٌ 
(مص. اِسْتَنْصَرَ)	اِسْتِنْصارٌ-اِسْتِنْصارٌ 
(مص. اِسْتَنْطَقَ)	اِسْتِنْطاقٌ-اِسْتِنْطاقٌ 
(مص. اِسْتَنْعَشَ)	اِسْتِنْعَاشٌ-اِسْتِنْعَاشٌ 
(مص. اِسْتَنْفَدَ)	اِسْتِنْفادٌ-اِسْتِنْفادٌ 
(مص. اِسْتَنْفَرَ)	اِسْتِنْفارٌ-اِسْتِنْفارٌ 
(مص. اِسْتَنْكَرَ)	اِسْتِنْكارٌ-اِسْتِنْكارٌ 
(مص. اِسْتَنْكَفَ)	اِسْتِنْكافٌ-اِسْتِنْكافٌ 
(مص. اِسْتَنْهَضَ)	اِسْتِنْهاضٌ-اِسْتِنْهاضٌ 
(مص. اِسْتَنْوَقَ)	اِسْتِنْواقٌ-اِسْتِنْواقٌ 
(مص. اِسْتَهانَ)	اِسْتِهانَةٌ-اِسْتِهانَةٌ 
(مص. اِسْتَهْتَرَ)	اِسْتِهْتارٌ-اِسْتِهْتارٌ 
(مص. اِسْتَهْجَنَ)	اِسْتِهْجانٌ-اِسْتِهْجانٌ 
(مص. اِسْتَهْدَفَ)	اِسْتِهْدافٌ-اِسْتِهْدافٌ 
(مص. اِسْتَهَلَّ)	اِسْتِهْلالٌ-اِسْتِهْلالٌ 
(مص. اِسْتَهْلكَ)	اِسْتِهْلاكٌ-اِسْتِهْلاكٌ 
(مص. اِسْتَهْوَى)	اِسْتِهْواءٌ-اِسْتِهْواءٌ 
(مص. اِسْتَوْجَبَ)	اِسْتيجابٌ-اِسْتيجابٌ 
(مص. اِسْتَوْحى)	اِسْتيحاءٌ-اِسْتيحاءٌ 
(مص. اِسْتَوْدَعَ)	اِسْتيداعٌ-اِسْتيداعٌ 
(مص. اِسْتَوْرَدَ)	اِسْتيرادٌ-اِسْتيرادٌ 
(مص. اِسْتَوْصَفَ)	اِسْتيصافٌ-اِسْتيصافٌ 
(مص. اِسْتَوْصَى)	اِسْتيصاءٌ-اِسْتيصاءٌ 
(مص. اِسْتَوْضَحَ)	اِسْتِيضاحٌ-اِسْتِيضاحٌ 
(مص. اِسْتَوْطَنَ)	اِسْتِيطانٌ-اِسْتِيطانٌ 
(مص. اِسْتَوْعَبَ)	اِسْتيعابٌ-اِسْتيعابٌ 
(مص. اِسْتَوْفَدَ)	اِسْتيفادٌ-اِسْتيفادٌ 
(مص. اِسْتَوْفَى)	اِسْتيفاءٌ-اِسْتيفاءٌ 
(مص. اِسْتَوْقَدَ)	اِسْتيقادٌ-اِسْتيقادٌ 
(مص. اِسْتَوْلى)	اِسْتيلاءٌ-اِسْتيلاءٌ 
(مص. اِسْتَوَى)	اِسْتِواءٌ-اِسْتِواءٌ 
(مص. اِسْتَيْأَسَ)	اِسْتِيئاسٌ-اِسْتِيئاسٌ
(مص. اِسْتَيْقَظَ)	اِسْتيقاظٌ-اِسْتيقاظٌ 
(مص. اِسْتَيْقَنَ)	اِسْتيقانٌ-اِسْتيقانٌ 
(مص. اِسْمَرَّ)	اِسْمِرارٌ-اِسْمِرارٌ 
(مص. اِسْوَدَّ)	اِسْوِدادٌ-اِسْوِدادٌ
(مص. اشْتاقَ)	اِشْتِياقٌ-اِشْتِياقٌ 
(مص. اِشْتَبَكَ)	اِشْتِباكٌ-اِشْتِباكٌ 
(مص. اِشْتَبَهَ)	اِشْتِباهٌ-اِشْتِباهٌ 
(مص. اِشْتَدَّ)	اِشْتِدادٌ-اِشْتِدادٌ 
(مص. اِشْتَرَطَ)	اِشْتِراطٌ-اِشْتِراطٌ 
(مص. اِشْتَرَكَ)	اِشْتِراكٌ-اِشْتِراكٌ 
(مص. اِشْتَرى)	اِشْتِراءٌ-اِشْتِراءٌ 
(مص. اِشْتَعَلَ)	اِشْتِعالٌ-اِشْتِعالٌ 
(مص. اِشْتَغَلَ)	اِشْتِغالٌ-اِشْتِغالٌ 
(مص. اِشْتَقَّ)	اِشْتِقاقٌ-اِشْتِقاقٌ 
(مص. اِشْتَكَى)	اِشْتِكاءٌ-اِشْتِكاءٌ 
(مص. اِشْتَمَلَ)	اِشْتِمالٌ-اِشْتِمالٌ 
(مص. اِشْتَهَرَ)	اِشْتِهارٌ-اِشْتِهارٌ 
(مص. اِشْتَهَى)	اِشْتِهاءٌ-اِشْتِهاءٌ 
(مص. اِشْمَأَزَّ)	اِشْمِئْزاز-اِشْمِئْزازٌ 
(مص. اِصْطادَ)	اِصْطِيادٌ-اِصْطِيادٌ 
(مص. اِصْطافَ)	اِصْطِيافٌ-اِصْطِيافٌ 
(مص. اِصْطَبَغَ)	اِصْطِباغٌ-اِصْطِباغٌ 
(مص. اِصْطَحَبَ)	اِصْطِحابٌ-اِصْطِحابٌ 
(مص. اِصْطَدَمَ)	اِصْطِدامٌ-اِصْطِدامٌ 
(مص. اِصْطَرَعَ)	اِصْطِراعٌ-اِصْطِراعٌ 
(مص. اِصْطَفَّ)	اصْطِفافٌ-اصْطِفافٌ 
(مص. اِصْطَفَقَ)	اِصْطِفاقٌ-اِصْطِفاقٌ 
(مص. اِصْطَفَى)	اِصْطِفاءٌ-اِصْطِفاءٌ 
(مص. اِصْطَكَّ)	اِصْطِكاكٌ-اِصْطِكاكٌ 
(مص. اِصْطَلَحَ)	اِصْطِلاحٌ-اِصْطِلاحٌ 
(مص. اِصْطَلى)	اِصْطِلاءٌ-اِصْطِلاءٌ 
(مص. اِصْطَنَعَ)	اِصْطِناع-اِصْطِناعٌ 
(مص. اِصْفَرَّ)	اِصْفِرارٌ-اِصْفِرارٌ 
(مص. اِضْطَجَعَ)	اِضْطِجاعٌ-اِضْطِجاعٌ 
(مص. اِضْطَرَّ)	اِضْطِرارٌ-اِضْطِرارٌ 
(مص. اِضْطَرَبَ)	اِضْطِرابٌ-اِضْطِرابٌ 
(مص. اِضْطَرَمَ)	اِضْطِرامٌ-اِضْطِرامٌ 
(مص. اِضْطَلَعَ)	اِضْطِلاعٌ-اِضْطِلاعٌ 
(مص. اِضْطَهَدَ)	اِضْطِهادٌ-اِضْطِهادٌ 
(مص. اِضْمَحَلَّ)	اِضْمِحْلالٌ-اِضْمِحْلالٌ 
(مص. اِطَّرَدَ)	اِطِّرادٌ-اِطِّرادٌ 
(مص. اِطَّلَعَ)	اِطِّلاعٌ-اِطِّلاعٌ 
(مص. اِطْمَأَنَّ)	اِطْمِئْنانٌ-اِطْمِئْنانٌ 
(مص. اِعْتادَ)	اِعْتِيادٌ-اِعْتِيادٌ 
(مص. اِعْتَبَرَ)	اِعْتِبارٌ-اِعْتِبارٌ 
(مص. اِعْتَبَطَ)	اِعْتِباطٌ-اِعْتِباطٌ 
(مص. اِعْتَدَّ)	اِعْتِدادٌ-اِعْتِدادٌ 
(مص. اِعْتَدَلَ)	اِعْتِدالٌ-اِعْتِدالٌ 
(مص. اِعْتَدى)	اِعْتِداءٌ-اِعْتِداءٌ 
(مص. اِعْتَذَرَ)	اِعْتِذارٌ-اِعْتِذارٌ 
(مص. اِعْتَرَشَ)	اِعْتِرَاشٌ-اِعْتِرَاشٌ 
(مص. اِعْتَرَضَ)	اِعْتِراضٌ-اِعْتِراضٌ 
(مص. اِعْتَرَفَ)	اِعْتِرافٌ-اِعْتِرافٌ 
(مص. اِعْتَرَكَ)	اِعْتِراكٌ-اِعْتِراكٌ 
(مص. اِعْتَرى)	اِعْتِراءٌ-اِعْتِراءٌ 
(مص. اِعْتَزَّ)	اِعْتِزازٌ-اِعْتِزازٌ 
(مص. اِعْتَزَلَ)	اِعْتِزالٌ-اِعْتِزالٌ 
(مص. اِعْتَزَمَ)	اِعْتِزامٌ-اِعْتِزامٌ 
(مص. اِعْتَشَبَ)	اِعْتِشابٌ-اِعْتِشابٌ 
(مص. اِعْتَصَبَ)	اِعْتِصابٌ-اِعْتِصابٌ 
(مص. اِعْتَصَرَ)	اِعْتِصارٌ-اِعْتِصارٌ 
(مص. اِعْتَصَمَ)	اِعْتِصامٌ-اِعْتِصامٌ 
(مص. اِعْتَقَدَ)	اِعْتِقادٌ-اِعْتِقادٌ 
(مص. اِعْتَقَلَ)	اِعْتِقالٌ-اِعْتِقالٌ 
(مص. اِعْتَكَفَ)	اِعْتِكافٌ-اِعْتِكافٌ 
(مص. اِعْتَلَّ)	اِعْتِلالٌ-اِعْتِلالٌ 
(مص. اِعْتَلَى)	اِعْتِلاءٌ-اِعْتِلاءٌ 
(مص. اِعْتَمَدَ)	اِعْتِمادٌ-اِعْتِمادٌ 
(مص. اِعْتَمَرَ)	اِعْتِمارٌ-اِعْتِمارٌ 
(مص. اِعْتَنَقَ)	اِعْتِناقٌ-اِعْتِناقٌ 
(مص. اِعْتَنى)	اِعْتِناءٌ-اِعْتِناءٌ 
(مص. اِعْشَوْشَبَ)	اِعْشِيشَابٌ-اِعْشِيشَابٌ 
(مص. اِعْوَجَّ)	اِعْوِجَاجٌ-اِعْوِجَاجٌ 
(مص. اِعْوَرَّ)	اِعْوِرارٌ-اِعْوِرارٌ 
(مص. اِعْوَزَّ)	اِعْوِزَازٌ-اِعْوِزَازٌ 
(مص. اِغْبَرَّ)	اِغبِرَارٌ-اِغبِرَارٌ 
(مص. اِغْتَابَ)	اِغْتِيَابٌ-اِغْتِيَابٌ 
(مص. اِغْتَبَطَ)	اِغْتِبَاطٌ-اِغْتِبَاطٌ 
(مص. اِغْتَرَّ)	اِغْتِرَارٌ-اِغْتِرَارٌ 
(مص. اِغْتَرَبَ)	اِغْتِرَابٌ-اِغْتِرَابٌ 
(مص. اِغْتَرَفَ)	اِغْتِرَافٌ-اِغْتِرَافٌ 
(مص. اِغْتَسَلَ)	اِغْتِسَالٌ-اِغْتِسَالٌ 
(مص. اِغْتَصَبَ)	اِغْتِصَابٌ-اِغْتِصَابٌ 
(مص. اِغْتَفَرَ)	اِغْتِفارٌ-اِغْتِفارٌ 
(مص. اِغْتَمَّ)	اِغْتِمَامٌ-اِغْتِمَامٌ 
(مص. اِغْتَنَمَ)	اِغْتِنَامٌ-اِغْتِنَامٌ 
(مص. اِغْتَنَى)	اِغْتِنَاءٌ-اِغْتِنَاءٌ 
(مص. اِفْتَتَحَ)	اِفْتِتَاحٌ-اِفْتِتَاحٌ 
(مص. اِفْتَتَنَ)	اِفْتِتَانٌ-اِفْتِتَانٌ 
(مص. اِفْتَخَرَ)	اِفْتِخارٌ-اِفْتِخارٌ 
(مص. اِفْتَرَّ)	اِفْتِرارٌ-اِفْتِرارٌ 
(مص. اِفْتَرَسَ)	اِفْتِراسٌ-اِفْتِراسٌ 
(مص. اِفْتَرَسَ)	اِفْتِرَاشٌ-اِفْتِرَاشٌ 
(مص. اِفْتَرَضَ)	اِفْتِرَاضٌ-اِفْتِرَاضٌ 
(مص. اِفْتَرَقَ)	اِفْتِرَاقٌ-اِفْتِرَاقٌ 
(مص. اِفْتَرَى)	اِفْتِرَاءٌ-اِفْتِرَاءٌ 
(مص. اِفْتَصَدَ)	اِفْتِصَادٌ-اِفْتِصَادٌ 
(مص. اِفْتَضَحَ)	اِفْتِضَاحٌ-اِفْتِضَاحٌ 
(مص. اِفْتَعَلَ)	اِفْتِعَالٌ-اِفْتِعَالٌ 
(مص. اِفْتَقَدَ)	اِفْتِقَادٌ-اِفْتِقَادٌ 
(مص. اِفْتَقَرَ)	اِفْتِقَارٌ-اِفْتِقَارٌ 
(مص. اِفْتَنَّ)	اِفْتِنَانٌ-اِفْتِنَانٌ 
(مص. اِقْتَاتَ)	اِقْتِياتٌ-اِقْتِياتٌ 
(مص. اِقْتَادَ)	اِقْتِيادٌ-اِقْتِيادٌ 
(مص. اِقْتَبَسَ)	اِقْتِباسٌ-اِقْتِباسٌ 
(مص. اِقْتَتَلَ)	اِقْتِتَالٌ-اِقْتِتَالٌ 
(مص. اِقْتَحَمَ)	اِقْتِحامٌ-اِقْتِحامٌ 
(مص. اِقْتَدَى)	اِقْتِداءٌ-اِقْتِداءٌ 
(مص. اِقْتَرَبَ)	اِقْتِرابٌ-اِقْتِرابٌ 
(مص. اِقْتَرَحَ)	اِقْتِراحٌ-اِقْتِراحٌ 
(مص. اِقْتَرَضَ)	اِقْتِرَاضٌ-اِقْتِرَاضٌ 
(مص. اِقْتَرَعَ)	اِقْتِراعٌ-اِقْتِراعٌ 
(مص. اِقْتَرَفَ)	اِقْتِرَافٌ-اِقْتِرَافٌ 
(مص. اِقْتَسَمَ)	اِقْتِسامٌ-اِقْتِسامٌ 
(مص. اِقْتَصَدَ)	اِقْتِصَادٌ-اِقْتِصَادٌ 
(مص. اِقْتَصَرَ)	اِقْتِصَارٌ-اِقْتِصَارٌ 
(مص. اِقْتَضَبَ)	اِقتِضَابٌ-اِقتِضَابٌ 
(مص. اِقْتَضَى)	اِقْتِضَاءٌ-اِقْتِضَاءٌ 
(مص. اِقْتَطَعَ)	اِقْتِطاعٌ-اِقْتِطاعٌ 
(مص. اِقْتَطَفَ)	اِقْتِطَافٌ-اِقْتِطَافٌ 
(مص. اِقْتَفَى)	اِقْتِفاءٌ-اِقْتِفاءٌ 
(مص. اِقْتَلَعَ)	اِقْتِلاَعٌ-اِقْتِلاَعٌ 
(مص. اِقْتَنَصَ)	اِقْتِناصٌ-اِقْتِناصٌ 
(مص. اِقْتَنَعَ)	اِقْتِناعٌ-اِقْتِناعٌ 
(مص. اِقْتَنَى)	اِقْتِناءٌ-اِقْتِناءٌ 
(مص. اِقْشَعَرَّ)	اِقْشِعْرارٌ-اِقْشِعْرارٌ 
(مص. اِكْتأبَ)	اِكْتِئَابٌ-اِكْتِئَابٌ 
(مص. اِكْتَتَبَ)	اِكْتِتَابٌ-اِكْتِتَابٌ 
(مص. اِكْتَتَمَ)	اِكْتِتَامٌ-اِكْتِتَامٌ 
(مص. اِكْتَحَلَ)	اِكْتِحَالٌ-اِكْتِحَالٌ 
(مص. اِكْتَرَثَ)	اِكْتِرَاثٌ-اِكْتِرَاثٌ 
(مص. اِكْتَرَى)	اِكْتِرَاءٌ-اِكْتِرَاءٌ 
(مص. اِكْتَسَبَ)	اِكْتِسَابٌ-اِكْتِسَابٌ 
(مص. اِكْتَسَحَ)	اِكْتِسَاحٌ-اِكْتِسَاحٌ 
(مص. اِكْتَسَى)	اِكْتِسَاءٌ-اِكْتِسَاءٌ 
(مص. اِكْتَشَفَ)	اِكْتِشَافٌ-اِكْتِشَافٌ 
(مص. اِكْتَظَّ)	اِكْتِظَاظٌ-اِكْتِظَاظٌ 
(مص. اِكْتَفَى)	اِكْتِفَاءٌ-اِكْتِفَاءٌ 
(مص. اِكْتَمَلَ)	اِكْتِمَالٌ-اِكْتِمَالٌ 
(مص. اِكْتَنَزَ)	اِكْتِنَازٌ-اِكْتِنَازٌ 
(مص. اِكْتَنَفَ)	اِكْتِنَافٌ-اِكْتِنَافٌ 
(مص. اِكْتَنَهَ)	اِكْتِنَاهٌ-اِكْتِنَاهٌ 
(مص. اِكْتَهَلَ)	اِكْتِهَالٌ-اِكْتِهَالٌ 
(مص. اِكْتَوَى)	اِكْتِوَاءٌ-اِكْتِوَاءٌ 
(مص. اِكْفَهَرَّ)	اِكْفِهْرارٌ-اِكْفِهْرارٌ 
(مص. اِلْتَأَمَ)	اِلْتِئَامٌ-اِلْتِئَامٌ 
(مص. اِلْتاعَ)	اِلْتِياعٌ-اِلْتِياعٌ 
(مص. اِلْتَبَسَ)	اِلْتِبَاسٌ-اِلْتِبَاسٌ 
(مص. اِلْتَبَكَ)	اِلْتِبَاكٌ-اِلْتِبَاكٌ 
(مص. اِلْتَجَأَ)	اِلْتِجَاءٌ-اِلْتِجَاءٌ 
(مص. اِلْتَحَفَ)	اِلْتِحَافٌ-اِلْتِحَافٌ 
(مص. اِلْتَحَقَ)	اِلْتِحَاقٌ-اِلْتِحَاقٌ 
(مص. اِلتَحَمَ)	اِلْتِحَامٌ-اِلْتِحَامٌ 
(مص. اِلْتَحَى)	اِلْتِحَاءٌ-اِلْتِحَاءٌ 
(مص. اِلْتَذَّ)	اِلْتِذاذٌ-اِلْتِذاذٌ 
(مص. اِلْتَزَقَ)	اِلْتِزَاقٌ-اِلْتِزَاقٌ 
(مص. اِلْتَزَمَ)	اِلْتِزَامٌ-اِلْتِزَامٌ 
(مص. اِلْتَصَقَ)	اِلْتِصَاقٌ-اِلْتِصَاقٌ 
(مص. اِلْتَطَمَ)	اِلْتِطَامٌ-اِلْتِطَامٌ 
(مص. اِلْتَفَّ)	اِلْتِفَافٌ-اِلْتِفَافٌ 
(مص. اِلْتَفَتَ)	اِلْتِفَاتٌ-اِلْتِفَاتٌ 
(مص. اِلْتَقَطَ)	اِلْتِقَاطٌ-اِلْتِقَاطٌ 
(مص. اِلْتَقَفَ)	اِلْتِقَافٌ-اِلْتِقَافٌ 
(مص. اِلْتَقَمَ)	اِلْتِقَامٌ-اِلْتِقَامٌ 
(مص. اِلْتَقَى)	اِلْتِقَاءٌ-اِلْتِقَاءٌ 
(مص. اِلْتَمَسَ)	اِلْتِمَاسٌ-اِلْتِمَاسٌ 
(مص. اِلْتَهَبَ)	اِلْتِهَابٌ-اِلْتِهَابٌ 
(مص. اِلْتَهَفَ)	اِلْتِهَافٌ-اِلْتِهَافٌ 
(مص. اِلْتَهَمَ)	اِلْتِهَامٌ-اِلْتِهَامٌ 
(مص. اِلْتَوَى)	اِلْتِوَاءٌ-اِلْتِوَاءٌ 
(مص. اِمْتَازَ)	اِمْتِيازٌ-اِمْتِيازٌ 
(مص. اِمْتَثَلَ)	اِمْتِثَالٌ-اِمْتِثَالٌ 
(مص. اِمْتَحَنَ)	اِمْتِحَانٌ-اِمْتِحَانٌ 
(مص. اِمْتَخَضَ)	اِمْتِخَاضٌ-اِمْتِخَاضٌ 
(مص. اِمْتَخَطَ)	اِمْتِخاطٌ-اِمْتِخاطٌ 
(مص. اِمْتَدَّ)	اِمْتِدَادٌ-اِمْتِدَادٌ 
(مص. اِمْتَدَحَ)	اِمْتِدَاحٌ-اِمْتِدَاحٌ 
(مص. اِمْتَرَسَ)	اِمْتِراسٌ-اِمْتِراسٌ 
(مص. اِمْتَزَجَ)	اِمْتِزَاجٌ-اِمْتِزَاجٌ 
(مص. اِمْتَسَكَ)	اِمْتِسَاكٌ-اِمْتِسَاكٌ 
(مص. اِمْتَشَقَ)	اِمْتِشَاقٌ-اِمْتِشَاقٌ 
(مص. اِمْتَصَّ)	اِمْتِصَاصٌ-اِمْتِصَاصٌ 
(مص. اِمْتَطَى)	اِمْتِطَاءٌ-اِمْتِطَاءٌ 
(مص. اِمْتَعَضَ)	اِمْتِعَاضٌ-اِمْتِعَاضٌ 
(مص. اِمْتَلأَ)	اِمْتِلاءٌ-اِمْتِلاءٌ 
(مص. اِمْتَلَكَ)	اِمْتِلاَكٌ-اِمْتِلاَكٌ 
(مص. اِمْتَنَّ)	اِمْتِنانٌ-اِمْتِنانٌ 
(مص. اِمْتَنَعَ)	اِمْتِناعٌ-اِمْتِناعٌ 
(مص. اِمْتَهَنَ)	اِمْتِهانٌ-اِمْتِهانٌ 
(مص. اِمَّحَى)	اِمِّحاءٌ-اِمِّحاءٌ 
(مص. اِنْبَثَّ)	اِنْبِثاثٌ-اِنْبِثاثٌ
(مص. اِنْبَثَقَ)	اِنْبِثاقٌ-اِنْبِثاقٌ 
(مص. اِنْبَجَسَ)	اِنْبِجاسٌ-اِنْبِجاسٌ 
(مص. اِنْبَرَمَ)	اِنْبِرامٌ-اِنْبِرامٌ 
(مص. اِنْبَسَطَ)	اِنْبِساطٌ-اِنْبِساطٌ 
(مص. اِنْبَطَحَ)	اِنْبِطاحٌ-اِنْبِطاحٌ 
(مص. اِنْبَعَثَ)	اِنْبِعاثٌ-اِنْبِعاثٌ 
(مص. اِنْبَلَجَ)	اِنْبِلاجٌ-اِنْبِلاجٌ 
(مص. اِنْبَهَرَ)	اِنْبِهارٌ-اِنْبِهارٌ 
(مص. اِنْتَبَهَ)	اِنْتِباهٌ-اِنْتِباهٌ 
(مص. اِنْتَجَعَ)	اِنْتِجاعٌ-اِنْتِجاعٌ 
(مص. اِنْتَحَبَ)	اِنْتِحابٌ-اِنْتِحابٌ 
(مص. اِنْتَحَرَ)	اِنْتِحارٌ-اِنْتِحارٌ 
(مص. اِنْتَحَلَ)	اِنْتِحالٌ-اِنْتِحالٌ 
(مص. اِنْتَخَبَ)	اِنْتِخابٌ-اِنْتِخابٌ 
(مص. اِنْتَدَبَ)	اِنْتِدابٌ-اِنْتِدابٌ 
(مص. اِنْتَزَعَ)	اِنْتِزاعٌ-اِنْتِزاعٌ 
(مص. اِنْتَسَبَ)	اِنْتِسابٌ-اِنْتِسابٌ 
(مص. اِنْتَسَخَ)	اِنْتِساخٌ-اِنْتِساخٌ 
(مص. اِنْتَسَلَ)	اِنْتِسَالٌ-اِنْتِسَالٌ 
(مص. اِنْتَشَرَ)	اِنْتِشارٌ-اِنْتِشارٌ 
(مص. اِنْتَشَقَ)	اِنْتِشاقٌ-اِنْتِشاقٌ 
(مص. اِنْتَشَلَ)	اِنْتِشالٌ-اِنْتِشالٌ 
(مص. اِنْتَشَى)	اِنْتِشاءٌ-اِنْتِشاءٌ 
(مص. اِنْتَصَبَ)	اِنْتِصابٌ-اِنْتِصابٌ 
(مص. اِنْتَصَرَ)	اِنْتِصارٌ-اِنْتِصارٌ 
(مص. اِنْتَصَفَ)	اِنْتِصَافٌ-اِنْتِصَافٌ 
(مص. اِنْتَظَرَ)	اِنْتِظارٌ-اِنْتِظارٌ 
(مص. اِنْتَظَمَ)	اِنْتِظامٌ-اِنْتِظامٌ 
(مص. اِنْتَعَشَ)	اِنْتِعاشٌ-اِنْتِعاشٌ 
(مص. اِنْتَعَلَ)	اِنْتِعالٌ-اِنْتِعالٌ 
(مص. اِنْتَفَخَ)	اِنْتِفاخٌ-اِنْتِفاخٌ 
(مص. اِنْتَفَشَ)	اِنْتِفاشٌ-اِنْتِفاشٌ 
(مص. اِنْتَفَضَ)	اِنْتِفاضٌ-اِنْتِفاضٌ 
(مص. اِنْتَفَضَ)	اِنْتِفاضَةٌ-اِنْتِفاضَةٌ 
(مص. اِنْتَفَضَ)	اِنْتِقاضٌ-اِنْتِقاضٌ 
(مص. اِنْتَفَعَ)	اِنْتِفاعٌ-اِنْتِفاعٌ 
(مص. اِنْتَقَدَ)	اِنْتِقادٌ-اِنْتِقادٌ 
(مص. اِنْتَقَصَ)	اِنْتِقاصٌ-اِنْتِقاصٌ 
(مص. اِنْتَقَلَ)	اِنْتِقالٌ-اِنْتِقالٌ 
(مص. اِنْتَقَمَ)	اِنْتِقامٌ-اِنْتِقامٌ 
(مص. اِنْتَقى)	اِنْتِقاءٌ-اِنْتِقاءٌ 
(مص. اِنْتَكَسَ)	اِنْتِكاسٌ-اِنْتِكاسٌ 
(مص. اِنْتَكَسَ)	اِنْتِكاسَةٌ-اِنْتِكاسَةٌ 
(مص. اِنْتَكَصَ)	اِنْتِكاصٌ-اِنْتِكاصٌ 
(مص. اِنْتَمَى)	اِنْتِماءٌ-اِنْتِماءٌ 
